Category,Item,Brand,Vendor,Qty_2024,UnitCost,SalesListPrice,OnHand_May2026,Notes
Forklift Diesel/LPG,LK LG30GLT Forklift (3.0t gas/LPG),LONKING,LONKING INTERNATIONAL,1,22515,29890,No,Not in May 2026 file - verify if sold
Forklift Diesel/LPG,LK LG35GLT Forklift (3.5t gas/LPG),LONKING,LONKING INTERNATIONAL,1,24700,31890,No,Not in May 2026 file - verify if sold
Forklift Electric,LK LG30B Forklift (3.0t electric),LONKING,LONKING INTERNATIONAL,1,25800,34690,No,Not in May 2026 file - verify if sold
Forklift Electric,LK LG35B Forklift (3.5t electric),LONKING,LONKING INTERNATIONAL,1,26600,35690,No,Not in May 2026 file - verify if sold
Forklift Electric,LK LG50B Forklift (5.0t electric),LONKING,LONKING INTERNATIONAL,1,38700,58690,No,Not in May 2026 file - verify if sold
Pallet Truck,ZW XPA20 Electric Pallet Truck,ZOWELL,SUZHOU PIONEER MATERIAL,3,6800,8790,Yes,
Pallet Truck,ZW XPA25 Electric Pallet Truck,ZOWELL,SUZHOU PIONEER MATERIAL,3,7100,9290,Yes,
Towing Tractor,ZW XTE50 Electric Towing Tractor,ZOWELL,SUZHOU PIONEER MATERIAL,2,11500,14890,Yes,
Forklift Diesel,HU CPCD30 Forklift (3.0t diesel),HUAYA,XINGTAI HUAYA MACHINE,1,23400,,No,Not in May 2026 file - verify if sold
Forklift Diesel,HU CPCD35 Forklift (3.5t diesel),HUAYA,XINGTAI HUAYA MACHINE,2,24400,,Yes,
Forklift LPG,HU LPG35 Forklift (3.5t LPG),HUAYA,XINGTAI HUAYA MACHINE,2,27400,,No,Not in May 2026 file - verify if sold
VNA Truck,ZW VDA116 Electric VNA Truck (rotating forks + camera),ZOWELL,SUZHOU PIONEER MATERIAL,2,53750,,No,High-value unit - verify status
Stacker,ZW XEB15 Electric Stacker,ZOWELL,SUZHOU PIONEER MATERIAL,1,7900,,Yes,
Stacker,ZW XEA12 Electric Stacker,ZOWELL,SUZHOU PIONEER MATERIAL,3,5500,,Yes,
Stacker,ZW XEK15 Electric Stacker,ZOWELL,SUZHOU PIONEER MATERIAL,1,11800,,Yes,
Reach Truck,ZW RRE115 Electric Double-Deep Reach Truck,ZOWELL,SUZHOU PIONEER MATERIAL,1,47400,,No,High-value unit - verify status
Reach Truck,ZW FRC15 Electric Reach Truck,ZOWELL,SUZHOU PIONEER MATERIAL,2,15150,,Yes,
Stacker,ZW XE20 Electric Stacker,ZOWELL,SUZHOU PIONEER MATERIAL,2,9100,,Yes,
Stacker,ZW XEBK15 Electric Stacker,ZOWELL,SUZHOU PIONEER MATERIAL,2,10700,,Yes,
Forklift IC,RY G30 Forklift Truck (3.0t IC),RY,ROYAL FORKLIFT SUZHOU,2,28700,,No,Not in May 2026 file - verify if sold
Forklift Electric,RY E20e Electric Forklift (3-wheel dual drive),RY,ROYAL FORKLIFT SUZHOU,1,28700,,No,Not in May 2026 file - verify if sold
Forklift Electric,RY E30Q Electric Forklift,RY,ROYAL FORKLIFT SUZHOU,1,31350,,Yes,
Forklift Electric,RY E35Q Electric Forklift,RY,ROYAL FORKLIFT SUZHOU,1,34700,,No,Not in May 2026 file - verify if sold
