Group,Brand,Model,Description,Qty,UnitCost,MSRP,VerifiedRetail,Notes
Luxury,GAGGENAU,BS470612,"400 Series 24"" Combi Steam Oven",1,5240,9899,9899,Price hidden by dealers; MSRP retained
Luxury,GAGGENAU,BO480613,"Oven 30"" 400 Series SS Glass L",1,5240,9899,9899,Boxed
Luxury,GAGGENAU,AL400792,400 Series Telescopic Ventilation,1,2792,5399,5399,Retailer sale price verified
Luxury,GAGGENAU,RC472705,"Vario 400 Refrigerator 30"" 2-Door",1,7632,12999,12999,
Luxury,GAGGENAU,WS463710-960,"24"" Warming Drawer",1,1492,2699,2699,
Luxury,GAGGENAU,WS461710-960,"24"" Warming Drawer",1,1392,2549,2549,
Luxury,GAGGENAU,BMP250710/1,Combi Oven 361 200 Series,1,3216,5849,5849,Discontinued model
Luxury,GAGGENAU,BS484612,"400 Series 30"" Combi Steam Oven",1,6936,11699,11699,Boxed
Luxury,GAGGENAU,VI230620/02,"200 Series Vario Induction 12""",1,1484,2649,2649,
Luxury,GAGGENAU,VG231220CA,200 Series Vario Gas Wok Burner,1,1872,2999,2999,
Luxury,GAGGENAU,VG2322OCA,"200 Series Vario 12"" Gas 2-Burner",1,1484,2599,2599,Model tag needs verification (likely VG232220CA)
Luxury,GAGGENAU,CMP250711,Built-In Automatic Coffee Machine,1,2592,4899,4899,
Luxury,GAGGENAU,BO450612,"24"" 400 Series SS/Glass R",1,4528,8149,8149,
Luxury,GAGGENAU,DF481701,Dishwasher Fully Integrated 60cm,1,2292,3899,3899,Boxed
Luxury,MIELE,KM6365,"30"" Flush Mounted Induction Cooktop",1,2125,3499,3499,
Luxury,MIELE,DGC7840,"24"" VitroLine Combi Steam",1,3299,5999,5999,
Luxury,MIELE,ESW6214,"24"" PureLine Warming Drawer",1,769,1399,1399,
Luxury,MIELE,G 7176 SCVI,AutoDos Dishwasher,1,1059,1849,1849,
Luxury,MIELE,HR 1953 2G,"36"" Dual Fuel Range M Touch M Pro Grill",1,7849,13099,,
Luxury,MIELE,K2602 VI,"24"" MasterCool Refrigerator Panel Ready",1,5409,9199,,
Luxury,MIELE,K 2802 VI,"30"" MasterCool Bottom RH Mount Panel Ready",1,5896,9699,,
Luxury,MIELE,KWT 2672 VIS,"24"" MasterCool Wine Unit Sommelier Panel Ready",1,6754,10599,,
Luxury,MIELE,H 7780 BP2,"30"" ContourLine Double Oven M Touch",1,7664,11699,,
Luxury,MIELE,DA 6891,"Miele Downdraft Hood 36""",1,1895,3399,,
Luxury,MIELE,CVA 7845,"24"" VitroLine Coffee Plumbed M Touch",1,3754,6999,,
Luxury,THERMADOR,T36BT120NS,Built-In Fridge Freezer,1,7890,13199,,Boxed
Luxury,THERMADOR,PRG304WH-8,"Pro Harmony 30"" Gas Range",1,2960,5699,,
Luxury,THERMADOR,HPCN36WS,"36"" Professional Chimney Hood",1,1860,3449,,
Luxury,BOSCH,SHX9PCM5N,Pocket Handle 800 Dishwasher,1,1078,1999,,
Luxury,BOSCH,NITP660SUL,Induction Cooktop Benchmark,1,1849,3599,,
Luxury,BOSCH,HBES453UC-03,500 Series Electric Wall Oven,1,1196,2299,,
Luxury,BOSCH,HCG56651UC,500 Series Hood,1,1196,2299,,
Mainstream,FRIGIDAIRE,FRSS2323AS,"22.3 cu.ft 33"" Side-by-Side Refrigerator SS",1,,1399,1099,Suggested ask 949 / wholesale 775 / floor 699
Mainstream,FRIGIDAIRE,FDPC4314AS,"24"" Front-Control Built-In Dishwasher SS",1,,599,393,Suggested ask 329 / wholesale 259 / floor 225
Mainstream,FRIGIDAIRE,GMOS1962AF,1.9 cu.ft Over-the-Range Microwave SS,1,,529,429,Suggested ask 329 / wholesale 249 / floor 225
Mainstream,FRIGIDAIRE,Gas Range (verify tag),"30"" 5-Burner Gas Range SS",1,,2099,929,Model tag verification required before advertising
Mainstream,ELECTROLUX,ELTG7300AW,Laundry Tower 4.4 washer + 8.0 gas dryer,1,,2199,1699,Suggested ask 1399 / wholesale 1175 / floor 1099
HVAC,GREENHECK,SYNC-180SCEA-S1,SYNC180 Residential ERV 75-200 CFM,1,1657,1690,1690,Suggested ask 1395 / volume 1095-1195
HVAC,ASPEN,AAFW304000UUCS38,Air Handler / Fan Coil Unit,1,,,,Distributor quote needed; ask 799 / wholesale 625 / floor 550
